Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term,Title,Tot Enrl,Component,Instructor
16300,Active,8732,MA,131,1,4149,Fall 2014,Calculus I,78,LEC,"Skufca,Joseph D"
16300,Active,8732,MA,131,1,4152,Spring 2015,Calculus I,72,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,1,4159,Fall 2015,Calculus I,101,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,1,4162,Spring 2016,Calculus I,61,LEC,"Kavanagh,Kathleen R"
16300,Active,8732,MA,131,1,4169,Fall 2016,Calculus I,78,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,1,4172,Spring 2017,Calculus I,83,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,1,4179,Fall 2017,Calculus I,72,LEC,"Udagedara,Indika Gayani"
16300,Active,8732,MA,131,1,4182,Spring 2018,Calculus I,64,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,1,4189,Fall 2018,Calculus I,85,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,1,4192,Spring 2019,Calculus I,80,LEC,"Kavanagh,Kathleen R"
16300,Active,8732,MA,131,1,4192,Spring 2019,Calculus I,80,LEC,"Reed,Rachel A"
16300,Active,8732,MA,131,1,4199,Fall 2019,Calculus I,68,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,1,4202,Spring 2020,Calculus I,85,LEC,"Kavanagh,Kathleen R"
16300,Active,8732,MA,131,1,4202,Spring 2020,Calculus I,85,LEC,"Reynolds,Lukas"
16300,Active,8732,MA,131,1,4209,Fall 2020,Calculus I,85,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,1,4212,Spring 2021,Calculus I,88,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,1,4219,Fall 2021,Calculus I,78,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,1,4222,Spring 2022,Calculus I,0,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,2,4149,Fall 2014,Calculus I,104,LEC,"Cafaro,Carlo"
16300,Active,8732,MA,131,2,4159,Fall 2015,Calculus I,109,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,2,4169,Fall 2016,Calculus I,85,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,2,4179,Fall 2017,Calculus I,89,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,2,4189,Fall 2018,Calculus I,99,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,2,4199,Fall 2019,Calculus I,84,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,2,4209,Fall 2020,Calculus I,96,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,2,4219,Fall 2021,Calculus I,82,LEC,"Greene,James Clarkson"
16300,Active,8732,MA,131,3,4149,Fall 2014,Calculus I,41,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,3,4169,Fall 2016,Calculus I,87,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,3,4179,Fall 2017,Calculus I,76,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,3,4189,Fall 2018,Calculus I,90,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,3,4199,Fall 2019,Calculus I,100,LEC,"White,Diana Terese"
16300,Active,8732,MA,131,3,4209,Fall 2020,Calculus I,98,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,3,4219,Fall 2021,Calculus I,63,LEC,"Al Momani,Abd Al Rahman Rasheed"
16300,Active,8732,MA,131,4,4149,Fall 2014,Calculus I,83,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,4,4159,Fall 2015,Calculus I,99,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4169,Fall 2016,Calculus I,65,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4179,Fall 2017,Calculus I,65,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4189,Fall 2018,Calculus I,84,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4199,Fall 2019,Calculus I,62,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4209,Fall 2020,Calculus I,55,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,4,4219,Fall 2021,Calculus I,80,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,5,4149,Fall 2014,Calculus I,63,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,5,4159,Fall 2015,Calculus I,35,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,5,4169,Fall 2016,Calculus I,82,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,5,4179,Fall 2017,Calculus I,62,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,5,4189,Fall 2018,Calculus I,84,LEC,"Batthana Mudiyanselage,Shandeepa Dilhani Wickramas"
16300,Active,8732,MA,131,5,4199,Fall 2019,Calculus I,86,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,5,4209,Fall 2020,Calculus I,70,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,5,4219,Fall 2021,Calculus I,78,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,6,4149,Fall 2014,Calculus I,70,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8732,MA,131,6,4159,Fall 2015,Calculus I,94,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,6,4169,Fall 2016,Calculus I,70,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,6,4179,Fall 2017,Calculus I,53,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,6,4189,Fall 2018,Calculus I,56,LEC,"Batthana Mudiyanselage,Shandeepa Dilhani Wickramas"
16300,Active,8732,MA,131,6,4199,Fall 2019,Calculus I,64,LEC,"Batthana Mudiyanselage,Shandeepa Dilhani Wickramas"
16300,Active,8732,MA,131,6,4209,Fall 2020,Calculus I,47,LEC,"Priyankara,Kanaththa Gamage Don Sulalitha"
16300,Active,8732,MA,131,6,4219,Fall 2021,Calculus I,76,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,7,4149,Fall 2014,Calculus I,96,LEC,"Morrison,Sara A."
16300,Active,8732,MA,131,7,4159,Fall 2015,Calculus I,72,LEC,"Martin,Christopher J."
16300,Active,8732,MA,131,7,4169,Fall 2016,Calculus I,27,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4179,Fall 2017,Calculus I,25,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4189,Fall 2018,Calculus I,23,LEC,"Yao,Guangming"
16300,Active,8732,MA,131,7,4199,Fall 2019,Calculus I,20,LEC,"Yao,Guangming"
